name,url,category,fit,status,notes
Startplatz events,https://www.startplatz.de/events,Venue and organiser,High,active,"Biggest founder feed in Cologne. Weekly breakfast, Rheinland Pitch, Female Founders Summit 16 Nov. Includes Düsseldorf, skip online items"
"Startup Breakfast Köln, Web de Cologne",https://www.meetup.com/startup-breakfast-koln/,Talk series,High,active,3 to 4 named founders tell their story. Next 15 Oct at Stadtgarten. Also on Eventbrite (https://www.eventbrite.de/o/10043603509)
Fuckup Nights Cologne,https://www.fuckupnights.com/city/cologne,Talk series,High,active,"Personal failure stories on stage. Next 2 Oct, then 16 Jan and 9 Apr 2027. 24 Sep run: nothing in window, 2 Oct speakers not named yet"
CreativeMornings/Cologne,https://creativemornings.com/cities/cgn,Talk series,High,active,"Monthly breakfast talk by a named creative or entrepreneur. Next 9 Oct at Krafthaus. 24 Sep run: nothing in window, 9 Oct speaker David Flacke"
"Entrepreneurs Club Cologne, Gründerabend",https://entrepreneurs-club-cologne.de/unsere-events/,Founder club,High,active,"Monthly, two founders tell their founding story. Names appear late on Instagram and LinkedIn. 24 Sep run: calendar empty since July, a 29 Sep Gründerabend is possible but unconfirmed"
Rheinland Pitch,https://www.rheinlandpitch.de/events/list/,Pitch series,High,active,"3 to 4 founders per edition, named about a week ahead. #129 on 28 Sep at Startplatz. 24 Sep run: finalists for 28 Sep still not published"
"Gateway, Universität zu Köln",https://gateway-unikoeln.de/en/events,University startup centre,High,active,"Sundowner 30 Sep, Impact Day 8 Oct, EM\*power female founders 14 Oct, Climate Innovation Spotlights"
"Gateway, TH Köln",https://www.th-koeln.de/forschung/gruendungen_719.php,University startup centre,High,active,"Founder talks at the yearly Startup-Tag, Impact Day 8 Oct. 24 Sep run: only webinars and office hours in window"
Mediengründerzentrum NRW,https://www.mediengruenderzentrum.de/mgzevents_news/,Media accelerator,High,active,"Recurring Founders Talk, MGZpulse on 12 Nov in Ehrenfeld. 24 Sep run: nothing in window"
KölnBusiness startup events,https://koeln.business/gruendung-und-startups/events,City calendar,High,active,City aggregator that also lists partner formats. See also all events (https://koeln.business/veranstaltungen)
Deutsche Sporthochschule events,https://www.dshs-koeln.de/universitaet/newsroom/termine-veranstaltungen,University calendar,High,active,"Sport talks, Female Founders Night 14 Oct, athlete founder pitch finale each summer"
Globetrotter Köln talks,https://www.globetrotter.de/veranstaltungen/?show=all&p=0&type=all&location=koeln&timespan=all,Store with talk series,High,active,"2 to 4 adventure and endurance talks a week in autumn, all with named speakers. 24 Sep run: nothing in window, talk season starts 8 Oct"
machwerkhaus köln,https://machwerkhaus-koeln.de/programm,Maker centre,High,active,"Resident makers, monthly Machwerktag, Machwerkschau 26 to 31 Oct"
Frauen gründen anders,https://frauen-gruenden-anders.de/,Women founders network,High,active,"6 dates a year, each with an established entrepreneur's own story. Next 6 Oct at Startplatz. 24 Sep run: nothing in window"
Kölner Vorbildunternehmerinnen,https://vorbildunternehmerinnen-koeln.de/category/engagement-als-vorbildunternehmerinnen/,Women founders network,High,active,"6 dates a year, each with an established entrepreneur's own story. Next 6 Oct at Startplatz. 24 Sep run: nothing in window"
DMEXCO conference agenda,https://dmexco.com/conference-agenda-2026/,Conference,High,active,"Consumer, D2C and creator founders on stage. Yearly in September. 24 Sep run: 2026 edition was 23 to 24 Sep, over"
Digitale Leute Köln,https://www.meetup.com/digitale-leute-koln/,Meetup and conference,Medium-high,active,On-stage interviews with digital builders. Summit 17 to 18 Nov. 24 Sep run: only upcoming meetup is in Hamburg
Vibe Coding Cologne,https://pirateskills.com/events/vibe-coding-cologne,Meetup,Medium,probation,"Monthly at Startplatz, run by Pirate Skills (Ben Sufiani, episode 2 guest). 24 Sep run: nothing in window, next in person 4 Nov"
